"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2021-10-03","86.9","1.85","5.53","Peralta, Wandy",664040,593974,"strikeout","swinging_strike_blocked",,,,,13,"Brandon Lowe strikes out swinging.","R","L","L","NYY","TB","S",2,,2,2,2021,"1.35","0.44","-0.24","0.41",,,,1,5,"Top",,,,,596142,,,-7.776261143523116,-126.18513595687891,-6.929885706861532,16.076464926340567,26.932190282014716,-26.127289328026578,"3.3","1.5",,,,"86.5",2132,"6.3",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.24",,,"0",1,0,0,,32,5,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",127,"0.021","-0.142"
"SL","2021-10-03","87.4","1.41","5.63","Peralta, Wandy",664040,593974,,"ball",,,,,13,"Brandon Lowe strikes out swinging.","R","L","L","NYY","TB","B",,,1,2,2021,"-0.09","0.38","-1.5","0.44",,,,1,5,"Top",,,,,596142,,,-6.813103315695881,-126.99375253135632,-7.119701365488386,0.4165178515958443,26.053883263495067,-26.82864625467125,"3.19","1.5",,,,"87.3",2082,"6.3",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.21",,,,,,,,32,4,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",143,"0","0.028"
"SL","2021-10-03","86.6","1.37","5.83","Peralta, Wandy",664040,593974,,"swinging_strike",,,,,13,"Brandon Lowe strikes out swinging.","R","L","L","NYY","TB","S",,,1,1,2021,"-0.1","0.26","-0.69","0.97",,,,1,5,"Top",,,,,596142,,,-4.706652912803624,-125.97780369722379,-5.939992729115015,-0.10260054730372531,25.500411670957735,-28.370724628863535,"3.3","1.5",,,,"86.5",2078,"6.2",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.26",,,,,,,,32,3,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",135,"0","-0.043"
"FF","2021-10-03","95.8","1.16","6.11","Peralta, Wandy",664040,593974,,"ball",,,,,13,"Brandon Lowe strikes out swinging.","R","L","L","NYY","TB","B",,,0,1,2021,"0.94","1.03","-2.2","2.01",,,,1,5,"Top",,,,,596142,,,-10.878277884847833,-139.07625330460678,-7.497562778562478,14.515993650590348,29.467311786687556,-17.234033923434744,"3.25","1.5",,,,"94.9",2128,"5.8",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.71",,,,,,,,32,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",133,"0","0.021"
"SL","2021-10-03","86.3","1.73","5.71","Peralta, Wandy",664040,593974,,"swinging_strike",,,,,4,"Brandon Lowe strikes out swinging.","R","L","L","NYY","TB","S",,,0,0,2021,"0.09","0.27","-0.65","2.71",,,,1,5,"Top",,,,,596142,,,-5.817218558909849,-125.63809957808304,-1.4399502317055253,2.1432822199826025,25.542245056014796,-29.26931012779058,"3.3","1.5",,,,"86",2128,"6.1",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.43",,,,,,,,32,1,"Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard",127,"0","-0.027"
"CH","2021-10-03","87.4","1.74","5.39","Peralta, Wandy",595281,593974,"strikeout","swinging_strike",,,,,8,"Kevin Kiermaier strikes out swinging.","R","L","L","NYY","TB","S",2,,1,2,2021,"1.5","0.12","0.24","1.76",,,,0,5,"Top",,,,,596142,,,-6.676347082515962,-127.07356488365525,-2.8441640094989826,17.5713933550569,25.44484435513186,-30.52138141263335,"3.41","1.56",,,,"87.1",2066,"6.1",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.41",,,"0",1,0,0,,31,4,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",120,"0.03","-0.174"
"CH","2021-10-03","87","2.07","5.59","Peralta, Wandy",595281,593974,,"swinging_strike",,,,,14,"Kevin Kiermaier strikes out swinging.","R","L","L","NYY","TB","S",,,1,1,2021,"1.64","0.26","1.28","1.09",,,,0,5,"Top",,,,,596142,,,-5.224956358017708,-126.6204932411006,-5.13296944366316,18.715766432640386,24.758857413585698,-28.56725101351758,"3.41","1.56",,,,"86.5",2122,"5.9",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.65",,,,,,,,31,3,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",122,"0","-0.057"
"SI","2021-10-03","98.4","-1.11","6.33","Holmes, Clay",443558,605280,"field_out","hit_into_play",,,,,11,"Nelson Cruz grounds out, third baseman Rougned Odor to first baseman Anthony Rizzo.","R","R","R","NYY","TB","X",5,"ground_ball",1,1,2021,"-1.22","0.67","-0.84","2.54",,,,1,6,"Top",92.01,144.32,,,596142,,,3.55478959155888,-143.15659959115337,-6.393237581967657,-17.53984198689499,33.37245924904098,-21.666631921145356,"3.47","1.59",7,"98.8",-19,"98.5",2282,"6.4",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.14",0.171,0.168,"0",1,0,0,2,38,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",223,"0.025","-0.157"
"SL","2021-10-03","86.4","1.54","5.72","Peralta, Wandy",595281,593974,,"ball",,,,,13,"Kevin Kiermaier strikes out swinging.","R","L","L","NYY","TB","B",,,0,1,2021,"-0.04","0.39","-1.06","1.86",,,,0,5,"Top",,,,,596142,,,-6.076821877681312,-125.69770071069722,-3.718662104578735,0.8683217772569889,26.391558532022554,-27.5031492200141,"3.45","1.59",,,,"85.8",2104,"6",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.5",,,,,,,,31,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",129,"0","0.027"
"CH","2021-10-03","86.4","-1.19","5.95","Trivino, Lou",493329,642152,"single","hit_into_play",,,,,4,"Yuli Gurriel singles on a line drive to left fielder Mark Canha.   Jason Castro scores.    Yordan Alvarez to 3rd.","R","R","R","HOU","OAK","X",7,"line_drive",0,1,2021,"-1.27","-0.35","-0.62","2.1",488771,670541,,1,9,"Bot",100.23,110.6,,,543228,,,3.936621254170596,-125.69130432098122,-2.183530565178576,-14.268115912000344,27.746201697940123,-35.56053575440703,"3.37","1.53",214,"68.8",22,"86",1619,"6.2",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.28",0.906,0.823,"0.9",1,1,0,4,75,2,"Changeup",6,6,6,6,6,7,7,6,"Strategic","Standard",266,"0.162","1.054"
