"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2021-10-03","88","-1.04","6.45","Holmes, Clay",443558,605280,,"ball",,,,,11,"Nelson Cruz grounds out, third baseman Rougned Odor to first baseman Anthony Rizzo.","R","R","R","NYY","TB","B",,,0,1,2021,"0.17","-0.18","-0.52","4.15",,,,1,6,"Top",,,,,596142,,,0.9167430783603382,-128.2077814418264,0.8262405099861336,1.6842921380346496,24.114094132067805,-34.51007365299311,"3.79","1.73",,,,"88",2485,"6",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.5",,,,,,,,38,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",72,"0","0.021"
"SI","2021-10-03","95","1.77","5.99","Peralta, Wandy",595281,593974,,"called_strike",,,,,5,"Kevin Kiermaier strikes out swinging.","R","L","L","NYY","TB","S",,,0,0,2021,"1.55","0.59","0.12","2.26",,,,0,5,"Top",,,,,596142,,,-7.716434514323179,-138.16473372359292,-5.420596840240876,21.53845010656734,30.139711785348,-23.576037523172207,"3.61","1.55",,,,"94.2",2051,"5.8",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.69",,,,,,,,31,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",130,"0","-0.038"
"SI","2021-10-03","94.2","-1.05","5.92","Trivino, Lou",493329,642152,,"called_strike",,,,,8,"Yuli Gurriel singles on a line drive to left fielder Mark Canha.   Jason Castro scores.    Yordan Alvarez to 3rd.","R","R","R","HOU","OAK","S",,,0,0,2021,"-1.29","0.52","0.26","1.89",488771,670541,,1,9,"Bot",,,,,543228,,,6.282362386795731,-136.99622368490748,-5.946349422476578,-17.64412489106916,30.469818155871504,-24.446764338612624,"3.59","1.65",,,,"94.5",1934,"6.5",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"53.98",,,,,,,,75,1,"Sinker",6,6,6,6,6,6,6,6,"Strategic","Standard",222,"0","-0.113"
"CH","2021-10-03","87","1.69","5.49","Peralta, Wandy",621563,593974,"field_out","hit_into_play",,,,,14,"Joey Wendle grounds out sharply, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","L","L","NYY","TB","X",4,"ground_ball",1,1,2021,"1.35","0.08","0.02","1.28",596847,572287,,2,4,"Top",153.12,146.33,,,596142,,,-6.723659467474018,-126.46659527497985,-4.062445969293073,15.830580052095144,25.69344899871992,-30.646768064901718,"3.41","1.56",14,"100.2",-5,"86.4",2136,"5.9",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.58",0.291,0.262,"0",1,0,0,2,26,3,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",120,"0.07","-0.544"
"SI","2021-10-03","97.8","-1.09","6.4","Holmes, Clay",443558,605280,,"called_strike",,,,,4,"Nelson Cruz grounds out, third baseman Rougned Odor to first baseman Anthony Rizzo.","R","R","R","NYY","TB","S",,,0,0,2021,"-1.44","0.49","-0.56","2.54",,,,1,6,"Top",,,,,596142,,,4.73758853444963,-142.2199916956348,-6.018253153237548,-20.661546587957684,33.27067887847913,-24.26026767271513,"3.83","1.81",,,,"97.5",2221,"6.2",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.3",,,,,,,,38,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",218,"0","-0.027"
"SI","2021-10-03","94.3","-1.14","5.94","Trivino, Lou",670541,642152,"double","hit_into_play",,,,,8,"Yordan Alvarez doubles (35) on a sharp fly ball to center fielder Starling Marte.   Jason Castro to 3rd.","R","L","R","HOU","OAK","X",8,"fly_ball",1,1,2021,"-1.34","0.79","0.05","2.25",,,488771,1,9,"Bot",77.09,48.13,,,543228,,,6.07416920352631,-137.08227722304488,-5.630724453205588,-18.295162646346437,30.220505134532367,-21.114312586904948,"3.58","1.68",390,"109",22,"94.2",1851,"6.3",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.2",0.963,1.742,"1.25",1,1,1,6,74,3,"Sinker",6,6,6,6,6,6,6,6,"Infield shift","Standard",229,"0.206","0.924"
"SI","2021-10-03","95.1","1.36","6.11","Peralta, Wandy",621563,593974,,"ball",,,,,13,"Joey Wendle grounds out sharply, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","L","L","NYY","TB","B",,,0,1,2021,"1.49","0.82","-2.69","0.84",,596847,572287,2,4,"Top",,,,,596142,,,-13.822469435939341,-137.46532776590868,-9.88357274935152,21.95617024346219,30.40869606313615,-19.576577566254166,"3.26","1.56",,,,"94.2",2203,"6.1",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.38",,,,,,,,26,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",136,"-0.018","0.054"
"SL","2021-10-03","87.9","-1.06","6.45","Holmes, Clay",677551,605280,"field_out","hit_into_play",,,,,2,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","X",4,"popup",3,2,2021,"0.27","-0.31","-0.16","2.8",,,,0,6,"Top",130.03,131.16,,,596142,,,1.6517021962612655,-128.1556813620138,-2.1732309301210977,2.624311149742947,24.373201939225904,-35.368881345635515,"3.3","1.5",173,"79.5",60,"88",2400,"6.1",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.4",0.014,0.013,"0",1,0,0,3,37,7,"Slider",0,0,0,0,0,0,0,0,"Standard","Strategic",59,"0.033","-0.318"
"SI","2021-10-03","97.5","-1.16","6.34","Holmes, Clay",677551,605280,,"ball",,,,,12,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","B",,,2,2,2021,"-1.34","0.29","1.56","2.4",,,,0,6,"Top",,,,,596142,,,10.357737476078345,-141.61596854317477,-5.750883842928172,-20.35046212284606,31.604956872823898,-27.12611507383676,"3.27","1.5",,,,"97.3",2167,"6.3",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.25",,,,,,,,37,6,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",232,"0","0.101"
"CH","2021-10-03","86.9","-1.23","5.83","Trivino, Lou",670541,642152,,"ball",,,,,14,"Yordan Alvarez doubles (35) on a sharp fly ball to center fielder Starling Marte.   Jason Castro to 3rd.","R","L","R","HOU","OAK","B",,,0,1,2021,"-1.38","-0.07","0.69","0.4",,,488771,1,9,"Bot",,,,,543228,,,7.410593469284906,-126.15143402392354,-6.620694593306012,-16.24896992866494,27.468201677553058,-31.626015348872766,"3.65","1.8",,,,"86.6",1743,"6.4",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.09",,,,,,,,74,2,"Changeup",6,6,6,6,6,6,6,6,"Infield shift","Standard",265,"0","0.045"
"CH","2021-10-03","87.4","1.73","5.55","Peralta, Wandy",621563,593974,,"foul",,,,,14,"Joey Wendle grounds out sharply, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","L","L","NYY","TB","S",,,0,0,2021,"1.65","0.57","0.29","0.97",,596847,572287,2,4,"Top",,,,,596142,,,-6.790560073098544,-126.92965767942722,-5.9721865425957334,19.2090038680353,27.031576907184576,-24.94351762970954,"3.41","1.56",47,"83.5",2,"86.6",2190,"6",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.52",,,,,,,,26,1,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",128,"0","-0.074"
"SI","2021-10-03","97.4","-1.2","6.34","Holmes, Clay",677551,605280,,"foul",,,,,13,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","S",,,2,2,2021,"-1.44","0.52","-1.12","1.81",,,,0,6,"Top",,,,,596142,,,3.5216785314024093,-141.63040804181352,-7.793713437381648,-20.11231274176198,33.626587540421596,-23.588545922385244,"3.3","1.5",4,"71.7",-25,"97.1",2150,"6.3",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.23",,,,,,,,37,5,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",223,"0","0"
"CH","2021-10-03","87.8","1.74","5.61","Peralta, Wandy",572287,593974,"force_out","hit_into_play",,,,,9,"Mike Zunino grounds into a force out, fielded by third baseman Rougned Odor.   Austin Meadows out at 3rd.    Ji-Man Choi to 2nd.    Mike Zunino to 1st.","R","R","L","NYY","TB","X",5,"ground_ball",2,0,2021,"1.58","0.49","0.6","1.6",,640457,596847,1,4,"Top",95.77,172.7,,,596142,,,-5.99606244483686,-127.63995118940399,-4.5626535196660445,18.536236619568275,26.025680040820834,-26.044090903875883,"3.47","1.59",2,"60.7",-39,"87.2",2162,"6",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.54",0.103,0.093,"0",1,0,0,2,25,3,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",124,"0.053","-0.846"
"CH","2021-10-03","85","-1.2","5.91","Trivino, Lou",670541,642152,,"called_strike",,,,,7,"Yordan Alvarez doubles (35) on a sharp fly ball to center fielder Starling Marte.   Jason Castro to 3rd.","R","L","R","HOU","OAK","S",,,0,0,2021,"-1","-0.01","-0.75","2.29",,,488771,1,9,"Bot",,,,,543228,,,3.055185789806995,-123.6976500078214,-2.1030439440861226,-10.920834496702154,25.92109917738106,-32.071870752986726,"3.56","1.77",,,,"84.7",1458,"6.2",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.3",,,,,,,,74,1,"Changeup",6,6,6,6,6,6,6,6,"Infield shift","Standard",268,"0","-0.049"
"SI","2021-10-03","97.8","-1.09","6.43","Holmes, Clay",677551,605280,,"foul",,,,,7,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","S",,,2,1,2021,"-1.35","0.44","-0.51","1.5",,,,0,6,"Top",,,,,596142,,,4.642138183028861,-142.2058001753728,-8.811041141167445,-19.36960074667326,30.911152306196666,-24.41274291766048,"3.3","1.5",2,"92.6",-40,"97.8",2108,"6.2",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.31",,,,,,,,37,4,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",219,"0","-0.066"
"SI","2021-10-03","94.1","-1.14","5.98","Trivino, Lou",514888,642152,"field_out","hit_into_play",,,,,11,"Jose Altuve flies out to left fielder Mark Canha.","R","R","R","HOU","OAK","X",7,"fly_ball",2,0,2021,"-1.29","0.62","-1","2.69",,,488771,0,9,"Bot",68.99,82.64,,,543228,,,3.2123525115763676,-137.02291070329343,-4.219938273957361,-16.91919522135937,30.50225244925564,-23.624881095867604,"3.1","1.45",319,"84",34,"94.1",1918,"6.3",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.21",0.011,0.01,"0",1,0,0,3,73,3,"Sinker",6,6,6,6,6,6,6,6,"Standard","Standard",228,"-0.076","-0.555"
"CH","2021-10-03","86.6","1.72","5.58","Peralta, Wandy",572287,593974,,"blocked_ball",,,,,13,"Mike Zunino grounds into a force out, fielded by third baseman Rougned Odor.   Austin Meadows out at 3rd.    Ji-Man Choi to 2nd.    Mike Zunino to 1st.","R","R","L","NYY","TB","B",,,1,0,2021,"1.64","0.37","-0.4","0.88",,640457,596847,1,4,"Top",,,,,596142,,,-8.339445922477022,-125.70882776345574,-5.697516684934751,19.08608024994072,25.89531352776944,-27.223714384048996,"3.39","1.59",,,,"85.8",2139,"5.9",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.57",,,,,,,,25,2,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",122,"0","0.144"
"CH","2021-10-03","86","1.86","5.58","Peralta, Wandy",572287,593974,,"ball",,,,,14,"Mike Zunino grounds into a force out, fielded by third baseman Rougned Odor.   Austin Meadows out at 3rd.    Ji-Man Choi to 2nd.    Mike Zunino to 1st.","R","R","L","NYY","TB","B",,,0,0,2021,"1.44","0.36","1.29","2.09",,640457,596847,1,4,"Top",,,,,596142,,,-4.237953166345789,-125.25706811610782,-2.773496469326231,15.97674751584038,24.96476383840926,-28.019181421063045,"3.34","1.59",,,,"85.5",2063,"5.9",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.59",,,,,,,,25,1,"Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard",125,"0","0.093"
"CU","2021-10-03","76.2","-1","6.18","Trivino, Lou",514888,642152,,"ball",,,,,14,"Jose Altuve flies out to left fielder Mark Canha.","R","R","R","HOU","OAK","B",,,1,0,2021,"1.23","-0.56","2.58","1.44",,,488771,0,9,"Bot",,,,,543228,,,5.310495986562797,-110.8357915003852,-1.8527649662408066,9.03701824536252,21.191523630446902,-36.62859953139307,"2.82","1.27",,,,"75.8",2222,"6.1",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.36",,,,,,,,73,2,"Curveball",6,6,6,6,6,6,6,6,"Standard","Standard",53,"0","0.11"
"SI","2021-10-03","97.9","-1","6.48","Holmes, Clay",677551,605280,,"ball",,,,,14,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","B",,,1,1,2021,"-1.36","0.44","0.81","1.28",,,,0,6,"Top",,,,,596142,,,7.9877366787148185,-142.07782001397163,-9.53599460605179,-20.228948823176776,31.4264372713612,-24.162191323953067,"3.3","1.5",,,,"97.6",2207,"6.2",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.31",,,,,,,,37,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",219,"0","0.052"
"SL","2021-10-03","88","-1.21","6.38","Holmes, Clay",677551,605280,,"ball",,,,,11,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","B",,,0,1,2021,"0.28","-0.15","-1.04","2.54",,,,0,6,"Top",,,,,596142,,,-0.16449991789982568,-128.36300229316424,-3.019355843854216,3.134623109721375,23.261061668930406,-33.43482178726075,"3.29","1.57",,,,"88.3",2347,"6.1",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.44",,,,,,,,37,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Strategic",25,"0","0.027"
"CH","2021-10-03","86.6","1.84","5.67","Peralta, Wandy",596847,593974,"walk","blocked_ball",,,,,13,"Ji-Man Choi walks.","R","L","L","NYY","TB","B",,,3,1,2021,"1.6","0.28","-0.34","0.64",,640457,,1,4,"Top",,,,,596142,,,-8.404688017880346,-125.63981728615059,-6.233163994817813,18.70756412760449,27.498523418952672,-28.068751912593775,"3.15","1.56",,,,"85.5",2143,"6",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.55",,,"0.7",1,0,0,,24,5,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",121,"-0.022","0.187"
"SI","2021-10-03","95.4","-1.01","5.97","Trivino, Lou",514888,642152,,"blocked_ball",,,,,14,"Jose Altuve flies out to left fielder Mark Canha.","R","R","R","HOU","OAK","B",,,0,0,2021,"-1.49","0.72","1.13","0.61",,,488771,0,9,"Bot",,,,,543228,,,8.971819438922392,-138.30834014727282,-10.018260586745498,-21.103575599844216,31.831402299166598,-20.76697560743435,"2.94","1.36",,,,"95.2",1974,"6.4",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.07",,,,,,,,73,1,"Sinker",6,6,6,6,6,6,6,6,"Standard","Standard",224,"0","0.057"
"SI","2021-10-03","94.9","-1.16","5.91","Trivino, Lou",488771,642152,"single","hit_into_play",,,,,7,"Jason Castro singles on a ground ball to left fielder Mark Canha.","R","L","R","HOU","OAK","X",7,"ground_ball",3,1,2021,"-1.48","0.76","-0.76","1.83",,,,0,9,"Bot",83.48,134.54,,,543228,,,4.338250287999424,-138.01331476571673,-6.658320700682116,-19.830579661189795,32.41296500284737,-21.184634839433937,"3.49","1.6",88,"86",5,"94.5",2019,"6.2",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.29",0.4,0.376,"0.9",1,1,0,4,72,5,"Sinker",6,6,6,6,6,6,6,6,"Infield shift","Standard",227,"0.074","0.25"
"CH","2021-10-03","85.8","1.92","5.5","Peralta, Wandy",596847,593974,,"ball",,,,,14,"Ji-Man Choi walks.","R","L","L","NYY","TB","B",,,2,1,2021,"1.36","0.26","0.96","1.79",,640457,,1,4,"Top",,,,,596142,,,-4.969326395690962,-124.79180056018458,-2.9862065186071476,15.166493805249818,26.804334715325844,-29.033683124518667,"3.31","1.56",,,,"85.1",2120,"6",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.51",,,,,,,,24,4,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",120,"0","0.061"
"SI","2021-10-03","95.5","-1.19","6.45","Holmes, Clay",677551,605280,,"called_strike",,,,,2,"Wander Franco pops out to second baseman Gleyber Torres.","R","L","R","NYY","TB","S",,,0,0,2021,"-1.27","0.5","-0.14","2.93",,,,0,6,"Top",,,,,596142,,,5.622606975384268,-139.03874901874462,-4.802876822012732,-17.7751130372802,29.202919763892787,-24.81711386532357,"3.34","1.5",,,,"0",,,632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.39",,,,,,,,37,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic",220,"0","-0.038"
"FF","2021-10-03","93.6","-1.21","5.93","Trivino, Lou",488771,642152,,"called_strike",,,,,5,"Jason Castro singles on a ground ball to left fielder Mark Canha.","R","L","R","HOU","OAK","S",,,3,0,2021,"-0.77","1.21","0.09","2.39",,,,0,9,"Bot",,,,,543228,,,5.02819549594611,-136.1452852146147,-6.03234563677983,-10.660466394907921,31.53186948956087,-15.954012257384367,"3.77","1.68",,,,"93.2",1907,"6.2",632245,642152,543228,664913,643393,640461,518902,592192,516782,621450,"54.3",,,,,,,,72,4,"4-Seam Fastball",6,6,6,6,6,6,6,6,"Infield shift","Standard",225,"0","-0.081"
"SI","2021-10-03","98.8","-1.12","6.42","Holmes, Clay",668227,605280,"strikeout","swinging_strike",,,,,2,"Randy Arozarena strikes out swinging.","R","R","R","NYY","TB","S",2,,1,2,2021,"-1.35","0.26","-0.24","3.28",,,,2,5,"Top",,,,,596142,,,5.531236732359829,-143.70818337048198,-3.7026192020570665,-19.979655346703556,34.54975004962405,-27.896540365159776,"3.32","1.51",,,,"98.4",2246,"6.2",632239,605280,596142,519203,650402,596059,570482,608336,458731,592450,"54.31",,,"0",1,0,0,,33,4,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",223,"0.014","-0.073"
"CH","2021-10-03","86.5","2","5.59","Peralta, Wandy",596847,593974,,"foul",,,,,7,"Ji-Man Choi walks.","R","L","L","NYY","TB","S",,,2,0,2021,"1.46","0.25","-0.31","1.63",,640457,,1,4,"Top",,,,,596142,,,-8.403606716209566,-125.59659975316008,-3.6447606132473367,17.172127391823576,27.281246766548783,-28.94865762198961,"3.41","1.56",2,"73",-42,"85.5",2135,"5.9",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.57",,,,,,,,24,3,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",124,"0","-0.045"
"SI","2021-10-03","93.4","1.78","5.88","Peralta, Wandy",596847,593974,,"ball",,,,,13,"Ji-Man Choi walks.","R","L","L","NYY","TB","B",,,1,0,2021,"1.49","0.69","-1.38","1.28",,640457,,1,4,"Top",,,,,596142,,,-11.292141407695407,-135.34812619028054,-7.512015618291025,20.81487763073566,30.072105340767916,-22.094200847173113,"3.25","1.56",,,,"92.4",2240,"5.9",632239,593974,596142,519203,650402,596059,570482,608336,458731,592450,"54.55",,,,,,,,24,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",126,"0","0.049"
