"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-05","84.2","-1.46","6.14","Trivino, Lou",543760,642152,,"ball",,,,,12,"Marcus Semien flies out to shortstop Oswald Peraza.","R","R","R","TEX","NYY","B",,,0,1,2022,"0.97","0.46","1.65","2.97",,,,0,7,"Bot",,,,,543309,,,5.28833416130236,-122.4755792475804,-1.8392463475156902,8.576607835632885,25.467523812975916,-27.43235779772707,"3.4","1.65",,,,"83.7",2517,"6.1",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.41",,,,,,,,54,2,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",75,"0","0.025"
"FF","2022-10-05","95.9","-1.42","6.11","Trivino, Lou",543760,642152,,"swinging_strike",,,,,11,"Marcus Semien flies out to shortstop Oswald Peraza.","R","R","R","TEX","NYY","S",,,0,0,2022,"-0.9","1.07","-0.06","3.53",,,,0,7,"Bot",,,,,543309,,,5.595640854339414,-139.56984683314505,-3.5835419233327435,-13.075076608704359,33.15366967365802,-17.619665368824954,"3.38","1.64",,,,"95.2",1856,"6",661996,642152,543309,519203,518934,518626,672724,665828,543305,503556,"54.52",,,,,,,,54,1,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Infield shift","Standard",231,"0","-0.034"
"SI","2022-09-27","98.3","-1.46","5.89","Trivino, Lou",656305,642152,"field_out","hit_into_play",,,,,13,"Matt Chapman grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","X",4,"ground_ball",2,2,2022,"-1.42","0.76","-0.85","2.26",,605548,,2,9,"Bot",141.61,166.69,,,543309,,,4.948884475460612,-143.03542091465985,-6.135005767199978,-20.6582521474072,32.61981546928312,-20.582885717947423,"3.45","1.61",2,"83.3",-49,"98.6",2040,"6.4",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.05",0.114,0.103,"0",1,0,0,2,74,6,"Sinker",2,5,2,5,5,2,2,5,"Strategic","Standard",231,"-0.016","-0.26"
"SL","2022-09-27","84","-1.36","6","Trivino, Lou",656305,642152,,"ball",,,,,14,"Matt Chapman grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","B",,,1,2,2022,"1.53","0.03","1.89","1.59",,605548,,2,9,"Bot",,,,,543309,,,4.497936989554728,-122.18440330280096,-3.8306241048465464,14.323849698476971,25.46331583697514,-31.311077995341098,"3.26","1.61",,,,"83.7",2608,"6.3",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.25",,,,,,,,74,5,"Slider",2,5,2,5,5,2,2,5,"Strategic","Standard",59,"0","0.029"
"SL","2022-09-27","82.4","-1.41","6.02","Trivino, Lou",656305,642152,,"foul",,,,,6,"Matt Chapman grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","S",,,1,2,2022,"1.53","0.09","0.6","2.26",,605548,,2,9,"Bot",,,,,543309,,,1.5809042484758256,-119.90703331567315,-2.1225529873324405,14.326384384000237,26.049198863452673,-31.097783840607647,"3.45","1.61",203,"70.7",49,"81.8",2477,"6.2",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.31",,,,,,,,74,4,"Slider",2,5,2,5,5,2,2,5,"Strategic","Standard",60,"0","0"
"SL","2022-09-27","84.3","-1.37","5.92","Trivino, Lou",656305,642152,,"blocked_ball",,,,,14,"Matt Chapman grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","B",,,0,2,2022,"1.02","0.18","1.4","0.18",,605548,,2,9,"Bot",,,,,543309,,,4.394349665961563,-122.4549975410318,-7.21409381991418,9.213192477843842,26.708045656383174,-28.977344893332077,"3.34","1.61",,,,"83.6",2643,"6.2",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.34",,,,,,,,74,3,"Slider",2,5,2,5,5,2,2,5,"Strategic","Standard",50,"0","0.025"
"SL","2022-09-27","82.2","-1.56","5.92","Trivino, Lou",656305,642152,,"called_strike",,,,,8,"Matt Chapman grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","S",,,0,1,2022,"1.18","0.41","-0.15","1.7",,605548,,2,9,"Bot",,,,,543309,,,0.891580655916228,-119.6447089736324,-3.7876422176763276,11.134531678314444,24.587756212777244,-27.674783522501023,"3.29","1.61",,,,"82.1",2674,"6.3",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.16",,,,,,,,74,2,"Slider",2,5,2,5,5,2,2,5,"Strategic","Standard",66,"0","-0.062"
"SL","2022-09-27","83.2","-1.48","5.99","Trivino, Lou",656305,642152,,"called_strike",,,,,6,"Matt Chapman grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","S",,,0,0,2022,"1.47","0.18","0.3","2.46",,,605548,2,9,"Bot",,,,,543309,,,1.204901385721433,-121.20063826969373,-1.9446195638251647,14.130890632122844,26.24460416947173,-30.273637946232224,"3.34","1.61",,,,"82.7",2670,"6.1",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.35",,,,,,,,74,1,"Slider",2,5,2,5,5,2,2,5,"Standard","Standard",64,"0.002","-0.035"
"SI","2022-09-27","96.3","-1.53","5.9","Trivino, Lou",672386,642152,"single","hit_into_play",,,,,7,"Alejandro Kirk singles on a sharp ground ball to center fielder Harrison Bader.","R","R","R","TOR","NYY","X",8,"ground_ball",0,1,2022,"-1.37","0.91","-0.61","1.81",,,,2,9,"Bot",122.82,84.7,,,543309,,,5.571202963356792,-140.04738411652906,-7.313020680203868,-19.330953611164272,32.613932181812565,-18.74609860007281,"3.08","1.46",58,"103.8",1,"96.2",2073,"6.4",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.14",0.466,0.42,"0.9",1,1,0,4,73,2,"Sinker",2,5,2,5,5,2,2,5,"Strategic","Standard",230,"0.009","0.134"
"SL","2022-09-27","83.8","-1.64","5.97","Trivino, Lou",672386,642152,,"called_strike",,,,,5,"Alejandro Kirk singles on a sharp ground ball to center fielder Harrison Bader.","R","R","R","TOR","NYY","S",,,0,0,2022,"1.35","-0.05","-0.11","2.14",,,,2,9,"Bot",,,,,543309,,,0.8726594635856322,-122.07472558140007,-2.302666834129675,13.191077176301501,26.086492488492702,-32.38144367732129,"2.84","1.35",,,,"83.5",2700,"6.2",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.27",,,,,,,,73,1,"Slider",2,5,2,5,5,2,2,5,"Strategic","Standard",70,"0","-0.017"
